Id,SalePrice
1461,103611.5
1462,153242.28
1463,176161.58
1464,181396.98
1465,164662.61
1466,183340.72
1467,163356.6
1468,179641.7
1469,188998.81
1470,118059.12
1471,173314.38
1472,92391.055
1473,96741.28
1474,152145.05
1475,130774.65
1476,411416.16
1477,272364.75
1478,319759.5
1479,319208.03
1480,441500.44
1481,300806.5
1482,236033.69
1483,191646.4
1484,167893.0
1485,165635.8
1486,202456.6
1487,366223.06
1488,242062.83
1489,202344.44
1490,203966.47
1491,186232.88
1492,95711.36
1493,175116.02
1494,285430.88
1495,272773.34
1496,223762.89
1497,192312.66
1498,147189.9
1499,146725.17
1500,151354.44
1501,173861.5
1502,153643.23
1503,359511.5
1504,222072.38
1505,218514.58
1506,166669.72
1507,236335.75
1508,196548.3
1509,167711.86
1510,142228.4
1511,150167.56
1512,161710.45
1513,157301.64
1514,142873.77
1515,217728.5
1516,146740.84
1517,158929.72
1518,135835.06
1519,216410.67
1520,135680.22
1521,133959.8
1522,172278.17
1523,129350.1
1524,108610.85
1525,125837.71
1526,122701.08
1527,93407.68
1528,137696.67
1529,158363.39
1530,150541.95
1531,121366.555
1532,87588.375
1533,157112.42
1534,127276.72
1535,162969.44
1536,101209.91
1537,77656.96
1538,169410.83
1539,142318.62
1540,104679.09
1541,158581.19
1542,131197.0
1543,259601.16
1544,86866.98
1545,102197.96
1546,106031.98
1547,110043.82
1548,126977.02
1549,108425.5
1550,125233.96
1551,116041.055
1552,134968.88
1553,142249.03
1554,125129.85
1555,178351.19
1556,118637.44
1557,98142.695
1558,99020.51
1559,82686.93
1560,135621.11
1561,115222.04
1562,128143.77
1563,106760.81
1564,163709.2
1565,148453.02
1566,204712.83
1567,81408.25
1568,221271.14
1569,104991.83
1570,129806.34
1571,139794.14
1572,149884.7
1573,239578.34
1574,149212.67
1575,209208.2
1576,206491.03
1577,204032.02
1578,124241.24
1579,144836.22
1580,187103.39
1581,155678.06
1582,125025.59
1583,339154.47
1584,256650.14
1585,141299.06
1586,79219.125
1587,110506.875
1588,135264.47
1589,113877.5
1590,132503.83
1591,98970.66
1592,124717.04
1593,107286.25
1594,106261.06
1595,118661.09
1596,273798.9
1597,182855.11
1598,186670.3
1599,158892.58
1600,186103.62
1601,61217.434
1602,111636.25
1603,61893.57
1604,264480.1
1605,251778.28
1606,159632.86
1607,196214.19
1608,212036.36
1609,203950.89
1610,161377.84
1611,143651.56
1612,181360.33
1613,164965.81
1614,114955.0
1615,76463.73
1616,76463.73
1617,82204.8
1618,125559.836
1619,138013.5
1620,208317.67
1621,140221.0
1622,137996.0
1623,243809.02
1624,201988.9
1625,119779.63
1626,164927.6
1627,182632.05
1628,260136.22
1629,175190.03
1630,359121.56
1631,215031.47
1632,259990.17
1633,176792.69
1634,180423.58
1635,185311.27
1636,167856.02
1637,184178.75
1638,219849.66
1639,175696.66
1640,271183.1
1641,172770.78
1642,224988.16
1643,239153.3
1644,230535.19
1645,183370.27
1646,148890.42
1647,159551.73
1648,160937.2
1649,133274.23
1650,116630.17
1651,115157.555
1652,94585.02
1653,94624.36
1654,158999.12
1655,153476.86
1656,148787.52
1657,161816.75
1658,156509.02
1659,126562.36
1660,152827.64
1661,391055.97
1662,421239.72
1663,414140.66
1664,433650.75
1665,377832.72
1666,222841.83
1667,353236.06
1668,390263.5
1669,312497.4
1670,351560.75
1671,244913.16
1672,422872.25
1673,300625.84
1674,260086.14
1675,195653.61
1676,188813.61
1677,232836.84
1678,418495.62
1679,340823.66
1680,338858.0
1681,295904.66
1682,310552.3
1683,175976.2
1684,175049.73
1685,170666.6
1686,178155.02
1687,165973.86
1688,189784.12
1689,186948.03
1690,182632.05
1691,172343.56
1692,277334.34
1693,165635.8
1694,181158.42
1695,168505.77
1696,269360.3
1697,162737.42
1698,323940.0
1699,348890.75
1700,246083.08
1701,261093.12
1702,262482.47
1703,280283.84
1704,253849.34
1705,231482.95
1706,412725.16
1707,243404.98
1708,196772.6
1709,301317.28
1710,231477.02
1711,208271.6
1712,253705.81
1713,250700.8
1714,205836.12
1715,200037.03
1716,201115.3
1717,165532.84
1718,117072.805
1719,210906.34
1720,246639.66
1721,171681.98
1722,117863.71
1723,158208.36
1724,228858.11
1725,239390.84
1726,184600.95
1727,177836.22
1728,180926.72
1729,142989.89
1730,131619.08
1731,129941.46
1732,106852.29
1733,102571.24
1734,133318.86
1735,139237.58
1736,127386.25
1737,276077.44
1738,217215.0
1739,316428.34
1740,240330.56
1741,193691.62
1742,173861.5
1743,167051.0
1744,291480.78
1745,282653.56
1746,202187.62
1747,200095.23
1748,252258.97
1749,138988.03
1750,152608.61
1751,235348.83
1752,103927.695
1753,155898.84
1754,215778.58
1755,170991.78
1756,123280.97
1757,115091.03
1758,153420.67
1759,166897.8
1760,157257.23
1761,129100.914
1762,155267.2
1763,167244.5
1764,123407.31
1765,146453.25
1766,149492.98
1767,179832.14
1768,143769.02
1769,183690.73
1770,151873.22
1771,133631.75
1772,158440.89
1773,127887.76
1774,125917.414
1775,130275.25
1776,125270.86
1777,92801.5
1778,148099.08
1779,103412.2
1780,182795.3
1781,120819.164
1782,94359.414
